covariate,mean_early_unw,mean_def_unw,smd_unweighted,mean_early_w,mean_def_w,smd_weighted
age_num,67.486,66.557,0.0587,67.052,67.064,0.0007
male,0.567,0.572,0.0099,0.571,0.565,0.0103
weight_num,85.88,84.396,0.0575,84.85,84.891,0.0016
sofa_total,2.138,2.475,0.1373,2.296,2.34,0.0177
sofa_respiration,0.454,0.532,0.0821,0.495,0.505,0.0105
sofa_cardiovascular,1.128,1.069,0.0596,1.103,1.085,0.0182
sofa_cns,0.21,0.339,0.1701,0.273,0.289,0.0215
sofa_renal,0.37,0.397,0.032,0.375,0.383,0.0102
d2_fio2,43.608,42.653,0.1502,42.995,43.07,0.0117
d2_peep,5.765,6.147,0.2072,6.016,6.024,0.0041
d2_tv,546.238,588.299,0.1489,564.078,572.75,0.0357
d2_pip,20.279,21.723,0.1908,21.245,21.299,0.0071
d2_pplat,19.035,19.485,0.1309,19.31,19.336,0.0072
pao2_fio2_d2_mean,222.562,228.323,0.0876,225.217,226.02,0.0122
d2_cr,1.374,1.453,0.0624,1.405,1.421,0.0127
d2_wbc,12.52,12.872,0.0527,12.809,12.741,0.01
d2_plt,175.455,180.087,0.0458,177.737,178.37,0.0062
d2_lactate,1.53,1.612,0.1254,1.558,1.58,0.0345
sepsis3_flag,0.585,0.649,0.1322,0.617,0.626,0.0186
ards_flag,0.005,0.02,0.1362,0.008,0.016,0.0754
crrt_flag,0.036,0.057,0.0987,0.046,0.047,0.0045
