covariate,smd_unweighted,smd_weighted
age_num,0.0641,0.0018
male,0.0078,0.0007
eth_white,0.0249,0.0009
eth_black,0.0251,0.0006
eth_hispanic,0.0185,0.0005
admissionweight,0.0125,0.001
adm_ed,0.0263,0.0038
log_apache,0.2227,0.0239
fio2_d2,0.2179,0.0168
peep_d2,0.1875,0.0143
vent_rate_d2,0.095,0.022
sao2_d2,0.0347,0.0503
mode_d2_controlled,0.0644,0.0001
any_vasopressor_d2,0.1749,0.0144
propofol_any,0.0138,0.0007
fentanyl_any,0.1618,0.0242
lactate_d2,0.1323,0.0219
creatinine_d2,0.0352,0.0064
platelets_d2,0.0232,0.0053
wbc_d2,0.1329,0.0146
copd,0.0,0.0
chf,0.0122,0.0011
diabetes,0.0306,0.0005
renal,0.0241,0.0013
malignancy,0.0059,0.0004
