covariate,early_mean,deferred_mean
age_num,60.794,61.859
male,0.547,0.544
eth_white,0.765,0.755
eth_black,0.112,0.121
eth_hispanic,0.045,0.049
admissionweight,84.911,84.575
adm_ed,0.461,0.448
log_apache,4.224,4.308
fio2_d2,37.785,39.275
peep_d2,5.361,5.633
vent_rate_d2,15.145,15.949
sao2_d2,97.914,97.955
mode_d2_controlled,0.638,0.668
any_vasopressor_d2,0.269,0.349
propofol_any,9.601,9.819
fentanyl_any,5.044,7.394
lactate_d2,1.894,2.072
creatinine_d2,1.506,1.56
platelets_d2,194.094,191.955
wbc_d2,12.154,13.068
copd,0.0,0.0
chf,0.156,0.151
diabetes,0.291,0.305
renal,0.073,0.08
malignancy,0.109,0.111
