strategy,variable,day,n,median,q1,q3,mean
deferred,FiO2_Day2,Day2,1126,40.0,40.0,50.0,42.652753108348136
deferred,FiO2_Day3,Day3,1123,40.0,40.0,50.0,47.66963490650045
deferred,PEEP_Day2,Day2,1126,5.0,5.0,8.0,6.146536412078153
deferred,PEEP_Day3,Day3,1111,5.0,5.0,8.0,6.1449144914491445
deferred,PeakP_Day2,Day2,1120,22.0,16.0,27.0,21.732142857142858
deferred,PeakP_Day3,Day3,1100,19.0,14.0,25.0,20.218272727272726
deferred,Pplat_Day2,Day2,654,19.0,17.0,23.0,19.835168195718655
deferred,Pplat_Day3,Day3,490,19.0,16.0,23.0,20.23224489795918
deferred,TV_Day2,Day2,1122,546.0,471.0,654.75,588.4857504456328
deferred,TV_Day3,Day3,1103,540.0,469.0,638.0,569.9901514052584
early,FiO2_Day2,Day2,776,40.0,40.0,50.0,43.608247422680414
early,FiO2_Day3,Day3,376,40.0,40.0,50.0,47.64627659574468
early,PEEP_Day2,Day2,776,5.0,5.0,5.0,5.765463917525773
early,PEEP_Day3,Day3,281,5.0,5.0,5.0,6.099644128113879
early,PeakP_Day2,Day2,755,20.0,14.0,26.0,20.28635761589404
early,PeakP_Day3,Day3,278,22.0,18.0,28.0,23.91726618705036
early,Pplat_Day2,Day2,422,19.0,16.0,22.0,19.06469194312796
early,Pplat_Day3,Day3,211,18.0,16.0,22.0,18.858767772511847
early,TV_Day2,Day2,760,523.5,454.0,616.0,546.4538907894737
early,TV_Day3,Day3,276,552.0,476.75,655.5,581.3058333333333
