strategy,variable,t_label,t_hours,n,median,q1,q3,mean
deferred,Lactate,"Day 1
00:00",0,799,1.5,1.1,2.3,2.067083854818523
deferred,Lactate,"Day 1
06:00",6,381,2.0,1.4,3.1,2.5818897637795275
deferred,Lactate,"Day 1
12:00",12,269,2.0,1.3,3.0,2.5617100371747212
deferred,Lactate,"Day 1
18:00",18,235,1.8,1.2,2.7,2.277531914893617
deferred,Lactate,"Day 2
00:00",24,194,1.8,1.2,2.6,2.156185567010309
deferred,Lactate,"Day 2
06:00",30,175,1.8,1.2,2.6,2.242285714285714
deferred,Lactate,"Day 2
12:00",36,155,1.6,1.1,2.6,2.165806451612903
deferred,Lactate,"Day 2
18:00",42,137,1.5,1.1,2.3,2.1715328467153285
deferred,Norepinephrine,"Day 1
00:00",0,210,0.1000081283564213,0.05001617864763827,0.15009593334980303,0.13112763007960718
deferred,Norepinephrine,"Day 1
06:00",6,120,0.10011146878241556,0.060025306993338676,0.20003587997052813,0.15948654337686696
deferred,Norepinephrine,"Day 1
12:00",12,133,0.1197945457533933,0.0600138373556546,0.2001878310693428,0.15690215390951973
deferred,Norepinephrine,"Day 1
18:00",18,129,0.1003863726509735,0.0600243329245131,0.1976734638446942,0.14853031815752987
deferred,Norepinephrine,"Day 2
00:00",24,111,0.1199549660668708,0.0700907294231001,0.19029953546123574,0.14465500816686058
deferred,Norepinephrine,"Day 2
06:00",30,126,0.0802474860392976,0.04248778895998835,0.14815374743193385,0.11633927185054438
deferred,Norepinephrine,"Day 2
12:00",36,107,0.1006478123599663,0.0502067214256385,0.1921370421769097,0.14215552370935985
deferred,Norepinephrine,"Day 2
18:00",42,96,0.1013325672829523,0.0500263540743617,0.17834747632150535,0.13275604643088926
deferred,P/F ratio,"Day 1
00:00",0,722,222.5,126.0,326.0,246.47234821116558
deferred,P/F ratio,"Day 1
06:00",6,569,238.0,152.0,326.0,255.46392037956187
deferred,P/F ratio,"Day 1
12:00",12,362,232.66666666666669,166.875,314.75,248.28336987226606
deferred,P/F ratio,"Day 1
18:00",18,305,242.0,168.0,328.0,259.5305819042291
deferred,P/F ratio,"Day 2
00:00",24,270,230.83333333333331,150.5,309.6428571428571,246.75914160486008
deferred,P/F ratio,"Day 2
06:00",30,235,216.0,155.5,325.3571428571429,246.6311240684341
deferred,P/F ratio,"Day 2
12:00",36,207,228.0,147.2077922077922,318.75,248.4804345935162
deferred,P/F ratio,"Day 2
18:00",42,197,224.0,166.0,325.0,243.22543432315004
deferred,RASS,"Day 1
00:00",0,997,-1.0,-4.0,0.0,-1.9598796389167503
deferred,RASS,"Day 1
06:00",6,850,-1.0,-3.0,0.0,-1.628235294117647
deferred,RASS,"Day 1
12:00",12,876,-1.0,-3.0,0.0,-1.221461187214612
deferred,RASS,"Day 1
18:00",18,828,0.0,-2.0,0.0,-1.1292270531400965
deferred,RASS,"Day 2
00:00",24,868,0.0,-1.25,0.0,-0.9124423963133641
deferred,RASS,"Day 2
06:00",30,830,0.0,-1.0,0.0,-0.8493975903614458
deferred,RASS,"Day 2
12:00",36,824,0.0,-1.0,0.0,-0.8155339805825242
deferred,RASS,"Day 2
18:00",42,740,0.0,-2.0,0.0,-0.8891891891891892
deferred,RR,"Day 1
00:00",0,1125,18.0,15.0,22.0,19.38222222222222
deferred,RR,"Day 1
06:00",6,1118,18.0,15.0,22.0,19.07871198568873
deferred,RR,"Day 1
12:00",12,1120,19.0,16.0,23.0,19.367857142857144
